10-DIC-22 
07-DIC-22 
06-DIC-22 
03-DIC-22 
03-DIC-22 
30-NOV-22 
30-NOV-22 
30-NOV-22 
29-NOV-22 
29-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
28-NOV-22 
26-NOV-22 
26-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
25-NOV-22 
24-NOV-22 
22-NOV-22 
21-NOV-22 
19-NOV-22 
18-NOV-22 
18-NOV-22 
18-NOV-22 
16-NOV-22 
15-NOV-22 
11-NOV-22 
10-NOV-22 
09-NOV-22 
08-NOV-22 
08-NOV-22 
08-NOV-22 
07-NOV-22 
05-NOV-22 
05-NOV-22 
05-NOV-22 
04-NOV-22 
04-NOV-22 
04-NOV-22 
03-NOV-22 
03-NOV-22 
02-NOV-22 
01-NOV-22 
31-OTT-22 
31-OTT-22 
30-OTT-22 
30-OTT-22 
30-OTT-22 
29-OTT-22 
28-OTT-22 
27-OTT-22 
27-OTT-22 
27-OTT-22 
27-OTT-22 
27-OTT-22 
27-OTT-22 
27-OTT-22 
27-OTT-22 
26-OTT-22 
26-OTT-22 
26-OTT-22 
25-OTT-22 
25-OTT-22 
24-OTT-22 
22-OTT-22 
21-OTT-22 
21-OTT-22 
18-OTT-22 
17-OTT-22 
15-OTT-22 
14-OTT-22 
14-OTT-22 
12-OTT-22 
09-OTT-22 
06-OTT-22 
06-OTT-22 
06-OTT-22 
06-OTT-22 
05-OTT-22 
05-OTT-22 
04-OTT-22 
04-OTT-22 
04-OTT-22 
04-OTT-22 
04-OTT-22 
03-OTT-22 
03-OTT-22 
03-OTT-22 
03-OTT-22 
03-OTT-22 
03-OTT-22 
02-OTT-22 
02-OTT-22 
02-OTT-22 
02-OTT-22 
02-OTT-22 
02-OTT-22 
02-OTT-22 
28-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
27-SET-22 
26-SET-22 
26-SET-22 
25-SET-22 
25-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
24-SET-22 
19-SET-22 
17-SET-22 
17-SET-22 
14-SET-22 
07-SET-22 
07-SET-22 
03-SET-22 
03-SET-22 
02-SET-22 
02-SET-22 
01-SET-22 
29-AGO-22 
26-AGO-22 
26-AGO-22 
26-AGO-22 
26-AGO-22 
25-AGO-22 
25-AGO-22 
25-AGO-22 
24-AGO-22 
23-AGO-22 
22-AGO-22 
22-AGO-22 
22-AGO-22 
20-AGO-22 
20-AGO-22 
19-AGO-22 
19-AGO-22 
18-AGO-22 
18-AGO-22 
18-AGO-22 
18-AGO-22 
17-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
16-AGO-22 
15-AGO-22 
15-AGO-22 
15-AGO-22 
15-AGO-22 
09-AGO-22 
08-AGO-22 
06-AGO-22 
04-AGO-22 
03-AGO-22 
